Tiempo (s),intensidad
936,1.772937802003621e-8
937,1.984042632933347e-8
938,1.7569592952634808e-8
939,1.9292033171769314e-8
940,1.9248815065147398e-8
941,1.723834626124471e-8
942,1.922618867859902e-8
943,1.720349557154347e-8
944,1.6389786639201692e-8
945,1.8807904026825733e-8
946,1.887685326744554e-8
947,1.635256936439488e-8
948,1.6635264096903568e-8
949,1.6024555809841365e-8
950,1.6129221275346435e-8
951,1.79971775009935e-8
952,1.886079523007226e-8
953,2.0100830434908145e-8
954,1.8901544800982426e-8
955,1.7678015078679854e-8
956,1.6743505918819868e-8
957,1.6503809423076948e-8
958,1.8223987128694117e-8
959,1.8710457206593976e-8
960,1.750271011759537e-8
961,1.9306097715983387e-8
962,1.7597501058566693e-8
963,1.8748196641767046e-8
964,1.834567941171007e-8
965,1.6912215348292786e-8
966,1.4510236801000033e-8
967,1.7241585494691444e-8
968,1.6149519306424986e-8
969,1.2548118171520056e-8
970,1.4849984488066881e-8
971,1.4305011128556882e-8
972,1.5009457657589498e-8
973,1.40465865661621e-8
974,1.3906367429877787e-8
975,1.4443235747146797e-8
976,1.4078357846790089e-8
977,1.4965957238488333e-8
978,2.178313083663875e-8
979,1.8540301828421168e-8
980,1.551367181878998e-8
981,1.8201785831393828e-8
982,1.7914817981629166e-8
983,1.596534839020618e-8
984,1.8269261828856424e-8
985,1.833656574728159e-8
986,1.804559889733735e-8
987,1.5427927878982594e-8
988,1.5290345541441447e-8
989,1.6338079312781367e-8
990,1.618117295741754e-8
991,1.7833052987640117e-8
992,1.7915444998572668e-8
993,1.6441275246239575e-8
994,1.5685522859510224e-8
995,1.7009635217904726e-8
996,1.6966165535065208e-8
997,1.6055136416116666e-8
998,1.622220928518211e-8
999,1.5873927776032975e-8
1000,1.5081863297127873e-8
1001,1.487594623320898e-8
1002,1.3183265545663427e-8
1003,1.5124021984925547e-8
1004,1.4379010471960613e-8
1005,1.5070261906636243e-8
1006,1.3727526792178966e-8
1007,1.691908997548273e-8
1008,1.6495724700597546e-8
1009,1.4872980207702544e-8
1010,1.5765610760557565e-8
1011,1.7942501863087633e-8
1012,1.879933556360978e-8
1013,1.728566133733625e-8
1014,1.7966521440007068e-8
